Dataset,Algorithm,Number of Cities,Total Distance,Elapsed Time (Seconds)
wi4.tsp,Brute Force,4,8356.306798082822,0.0
wi4.tsp,Nearest Neighbor,4,8356.306798082822,0.0010085105895996094
wi4.tsp,Branch And Bound,4,8356.306798082822,0.000997304916381836
wi4.tsp,Held Karp,4,8356.306798082822,0.0
wi4.tsp,Two Opt,4,4246.393338193699,0.0
wi4.tsp,Christofides,4,8356.306798082822,0.0009970664978027344
wi4.tsp,Ant Colony,4,4246.3933381936995,0.007879257202148438
wi4.tsp,Simulated Annealing,4,8356.306798082822,0.03290820121765137
output.tsp,Brute Force,5,47892.73705782689,0.0009982585906982422
output.tsp,Nearest Neighbor,5,47892.73705782689,0.0
output.tsp,Branch And Bound,5,47892.73705782689,0.0
output.tsp,Held Karp,5,47892.73705782689,0.000997781753540039
output.tsp,Two Opt,5,35721.98604708719,0.000997781753540039
output.tsp,Christofides,5,47892.7370578269,0.0009982585906982422
output.tsp,Ant Colony,5,40626.18348583001,0.009165287017822266
output.tsp,Simulated Annealing,5,47892.73705782689,0.03789854049682617
output.tsp,Brute Force,5,47892.73705782689,0.0
output.tsp,Nearest Neighbor,5,47892.73705782689,0.0
output.tsp,Branch And Bound,5,47892.73705782689,0.0
output.tsp,Held Karp,5,47892.73705782689,0.0009980201721191406
output.tsp,Two Opt,5,35721.98604708719,0.000997781753540039
output.tsp,Christofides,5,47892.7370578269,0.0009682178497314453
output.tsp,Ant Colony,5,40626.18348583001,0.009020328521728516
output.tsp,Simulated Annealing,5,47892.73705782689,0.038227081298828125
output.tsp,Brute Force,5,47892.73705782689,0.0009984970092773438
output.tsp,Nearest Neighbor,5,47892.73705782689,0.0
output.tsp,Branch And Bound,5,47892.73705782689,0.0009968280792236328
output.tsp,Held Karp,5,47892.73705782689,0.0010371208190917969
output.tsp,Two Opt,5,35721.98604708719,0.0009975433349609375
output.tsp,Christofides,5,47892.7370578269,0.0019943714141845703
output.tsp,Ant Colony,5,40626.18348583001,0.009223461151123047
output.tsp,Simulated Annealing,5,47892.73705782689,0.04103875160217285
