Dataset,Algorithm,Number of Cities,Total Distance,Elapsed Time (Seconds)
wi4,Brute Force,4,NaN,NaN
wi4,Branch and Bound,4,NaN,NaN
wi4,Dynamic programming,4,NaN,NaN
wi4,Nearest Neighbor,4,NaN,NaN
wi4,2-opt,4,NaN,NaN
wi4,Simulated Annealing,4,NaN,NaN
wi4,Christofides,4,NaN,NaN
wi4,Ant Colony Optimization,4,NaN,NaN
wi29,Brute Force,29,NaN,NaN
wi29,Branch and Bound,29,NaN,NaN
wi29,Dynamic programming,29,NaN,NaN
wi29,Nearest Neighbor,29,NaN,NaN
wi29,2-opt,29,NaN,NaN
wi29,Simulated Annealing,29,NaN,NaN
wi29,Christofides,29,NaN,NaN
wi29,Ant Colony Optimization,29,NaN,NaN
qa194,Brute Force,194,NaN,NaN
qa194,Branch and Bound,194,NaN,NaN
qa194,Dynamic programming,194,NaN,NaN
qa194,Nearest Neighbor,194,NaN,NaN
qa194,2-opt,194,NaN,NaN
qa194,Simulated Annealing,194,NaN,NaN
qa194,Christofides,194,NaN,NaN
qa194,Ant Colony Optimization,194,NaN,NaN
lu980,Brute Force,980,NaN,NaN
lu980,Branch and Bound,980,NaN,NaN
lu980,Dynamic programming,980,NaN,NaN
lu980,Nearest Neighbor,980,NaN,NaN
lu980,2-opt,980,NaN,NaN
lu980,Simulated Annealing,980,NaN,NaN
lu980,Christofides,980,NaN,NaN
lu980,Ant Colony Optimization,980,NaN,NaN
ja9847,Brute Force,9847,NaN,NaN
ja9847,Branch and Bound,9847,NaN,NaN
ja9847,Dynamic programming,9847,NaN,NaN
ja9847,Nearest Neighbor,9847,NaN,NaN
ja9847,2-opt,9847,NaN,NaN
ja9847,Simulated Annealing,9847,NaN,NaN
ja9847,Christofides,9847,NaN,NaN
ja9847,Ant Colony Optimization,9847,NaN,NaN
